post_title,post_name,post_excerpt,post_content,post_status,manage_stock,comment_status,regular_price,featured_image,product_gallery
Botan Ebi,Botan-Ebi,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,100,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Botan-Ebi-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Botan-Ebi-copy.png
Buri Fillet  1,Buri-Fillet--1,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,300,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Buri-Fillet--1.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Buri-Fillet--1.png
Butterfly Prawn,Butterfly-Prawn,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Butterfly-Prawn-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Butterfly-Prawn-copy.png
Chinese Cabbage Pickle 1,Chinese-Cabbage-Pickle-1,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,150,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Chinese-Cabbage-Pickle-1-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Chinese-Cabbage-Pickle-1-copy.png
Chirimen Sansho,Chirimen-Sansho,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Chirimen-Sansho-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Chirimen-Sansho-copy.png
Chuka Wakame,Chuka-Wakame,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,150,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Chuka-Wakame-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Chuka-Wakame-copy.png
Cuttlefish Ball Squid Ink,Cuttlefish-Ball-Squid-Ink,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Cuttlefish-Ball-Squid-Ink-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Cuttlefish-Ball-Squid-Ink-copy.png
Cuttlefish Ball,Cuttlefish-Ball,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,300,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Cuttlefish-Ball-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Cuttlefish-Ball-copy.png
Cuttlefish Sushi Topping,Cuttlefish-Sushi-Topping,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Cuttlefish-Sushi-Topping-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Cuttlefish-Sushi-Topping-copy.png
Eihire,Eihire,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,100,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Eihire-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Eihire-copy.png
Engawa,Engawa,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,300,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Engawa-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Engawa-copy.png
Fish Dumpling COOKED,Fish-Dumpling-COOKED,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Fish-Dumpling-COOKED-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Fish-Dumpling-COOKED-copy.png
Flavoured Abalone,Flavoured-Abalone,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,150,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Flavoured-Abalone-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Flavoured-Abalone-copy.png
Fresh Fish Dumpling   Shrimp 1,Fresh-Fish-Dumpling---Shrimp-1,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Fresh-Fish-Dumpling---Shrimp-1-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Fresh-Fish-Dumpling---Shrimp-1-copy.png
Fresh Fish Dumpling   Shrimp,Fresh-Fish-Dumpling---Shrimp,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,150,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Fresh-Fish-Dumpling---Shrimp-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Fresh-Fish-Dumpling---Shrimp-copy.png
Fresh Fish Dumpling,Fresh-Fish-Dumpling,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Fresh-Fish-Dumpling-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Fresh-Fish-Dumpling-copy.png
Fried Shrimp Coated with Bread Crumb,Fried-Shrimp-Coated-with-Bread-Crumb,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,300,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Fried-Shrimp-Coated-with-Bread-Crumb-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Fried-Shrimp-Coated-with-Bread-Crumb-copy.png
Frozen Kimuchi 1,Frozen-Kimuchi-1,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Frozen-Kimuchi-1-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Frozen-Kimuchi-1-copy.png
Fukahire Zanmai,Fukahire-Zanmai,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,100,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Fukahire-Zanmai-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Fukahire-Zanmai-copy.png
